[2015-09-02 10:36:01,820][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 10:36:02,114][INFO] [LAN] Listo para usarse.
[2015-09-02 10:36:02,118][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 10:36:05,208][INFO] [EMAIL] Listo para usarse.
[2015-09-02 10:40:26,223][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 10:40:26,224][INFO] [CHECKER] Objeto destruido.
[2015-09-02 10:40:26,224][INFO] [SMS] Objeto destruido.
[2015-09-02 10:40:26,384][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-02 10:40:26,385][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-02 10:40:26,385][INFO] [LAN] Objeto destruido.
[2015-09-02 10:40:26,395][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-02 10:40:26,395][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 10:40:26,598][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 10:40:27,032][INFO] [EMAIL] Objeto destruido.
[2015-09-02 11:40:41,109][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 11:40:41,117][INFO] [SMS] Objeto destruido.
[2015-09-02 11:40:41,118][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 11:45:56,251][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 11:45:56,578][INFO] [LAN] Listo para usarse.
[2015-09-02 11:45:56,581][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 11:45:59,531][INFO] [EMAIL] Listo para usarse.
[2015-09-02 11:46:22,979][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 11:46:30,165][INFO] [EMAIL] Listo para usarse.
[2015-09-02 11:46:52,852][INFO] [COMUNICADOR] El buffer de mensajes esta vacio.
[2015-09-02 11:47:05,923][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 11:47:05,923][INFO] [CHECKER] Objeto destruido.
[2015-09-02 11:47:05,924][INFO] [SMS] Objeto destruido.
[2015-09-02 11:47:06,523][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 11:47:06,927][INFO] [EMAIL] Objeto destruido.
[2015-09-02 11:47:07,148][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-02 11:47:07,149][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-02 11:47:07,150][INFO] [LAN] Objeto destruido.
[2015-09-02 11:47:07,153][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-02 11:47:07,153][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 11:47:14,955][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 11:47:15,248][INFO] [LAN] Listo para usarse.
[2015-09-02 11:47:15,251][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 11:47:18,985][INFO] [EMAIL] Listo para usarse.
[2015-09-02 12:01:06,121][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 12:01:13,536][INFO] [EMAIL] Listo para usarse.
[2015-09-02 12:12:33,437][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 12:12:33,438][INFO] [CHECKER] Objeto destruido.
[2015-09-02 12:12:33,438][INFO] [SMS] Objeto destruido.
[2015-09-02 12:12:33,672][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 12:12:33,910][INFO] [EMAIL] Objeto destruido.
[2015-09-02 12:12:34,795][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-02 12:12:34,796][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-02 12:12:34,796][INFO] [LAN] Objeto destruido.
[2015-09-02 12:12:34,829][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-02 12:12:34,829][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 12:12:36,885][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 12:12:37,168][INFO] [LAN] Listo para usarse.
[2015-09-02 12:12:37,171][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 12:12:39,961][INFO] [EMAIL] Listo para usarse.
[2015-09-02 12:30:50,591][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 12:30:50,871][INFO] [LAN] Listo para usarse.
[2015-09-02 12:30:50,875][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 12:31:10,276][INFO] [EMAIL] Listo para usarse.
[2015-09-02 12:33:22,178][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 12:33:22,459][INFO] [LAN] Listo para usarse.
[2015-09-02 12:33:22,462][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 12:34:02,964][INFO] [EMAIL] Listo para usarse.
[2015-09-02 12:34:40,693][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 12:34:40,693][INFO] [CHECKER] Objeto destruido.
[2015-09-02 12:34:40,694][INFO] [SMS] Objeto destruido.
[2015-09-02 12:34:42,042][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-02 12:34:42,044][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-02 12:34:42,045][INFO] [LAN] Objeto destruido.
[2015-09-02 12:34:42,047][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-02 12:34:42,047][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 12:34:43,540][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 12:34:47,549][INFO] [EMAIL] Objeto destruido.
[2015-09-02 12:34:53,541][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 12:34:53,816][INFO] [LAN] Listo para usarse.
[2015-09-02 12:34:53,820][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 12:35:04,372][INFO] [COMUNICADOR] El buffer de mensajes esta vacio.
[2015-09-02 12:35:26,262][INFO] [EMAIL] Listo para usarse.
[2015-09-02 12:35:31,298][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 12:35:31,298][INFO] [CHECKER] Objeto destruido.
[2015-09-02 12:35:31,298][INFO] [SMS] Objeto destruido.
